username,repo_name,stars,repo_url
arendst,Tasmota,20800,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15600,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,13900,https://github.com/tinygo-org/tinygo
arduino,Arduino,13900,https://github.com/arduino/Arduino
rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12500,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,11900,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9200,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8600,https://github.com/hybridgroup/gobot
platformio,platformio-core,7300,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6400,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6100,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4500,https://github.com/olikraus/u8g2
Arduino-IRremote,Arduino-IRremote,4200,https://github.com/Arduino-IRremote/Arduino-IRremote
ClemensElflein,OpenMower,4200,https://github.com/ClemensElflein/OpenMower
arduino,arduino-cli,4100,https://github.com/arduino/arduino-cli
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
Serial-Studio,Serial-Studio,3800,https://github.com/Serial-Studio/Serial-Studio
blynkkk,blynk-library,3800,https://github.com/blynkkk/blynk-library
justcallmekoko,ESP32Marauder,3700,https://github.com/justcallmekoko/ESP32Marauder
